融资时间,项目名称,所属行业,项目地点,融资轮次,投资金额/万RMB,投资方1,投资方2,投资方3,投资方4,投资方5
2016.7.28,北森云计算,企业服务,北京,新三板,数千万人民币,投资方未透露,,,,
2016.7.28,美丽元,本地生活,广东,A+轮,1亿人民币,美图秀秀,国金投资,天鸽互动,弘帆创投,
2016.7.28,英雄体育,体育运动,天津,A轮,6.4亿人民币,分众传媒,中信国安,光大印纪传媒,永桐基金,
2016.7.28,何仙姑夫,文化娱乐,山东,A轮,2000万人民币,清科创投,MSD Capital,,,
2016.7.28,车致意,汽车交通,上海,种子轮,数千万人民币,投资方未透露,,,,
2016.7.28,图腾贷,金融,四川,Pre-A轮,2000万人民币,投资方未透露,,,,
2016.7.28,镭神智能,硬件,广东,A轮,数千万人民币,招商资本管理,如山投资,北极光创投,,
2016.7.28,PingWest品玩,文化娱乐,北京,A轮,3000万人民币,挚信资本,风云资本,,,
2016.7.28,车云网,汽车交通,北京,A轮,数千万人民币,山行资本,,,,
2016.7.27,深圳必肯科技,广告营销,广东,Pre-A轮,1000万人民币,赛马资本,,,,
2016.7.27,海那边,本地生活,广东,A+轮,3000万人民币,源码资本,,,,
2016.7.27,伟东云,教育,山东,A轮,数千万人民币,建银国际,,,,
2016.7.27,游游铺子,文化娱乐,广东,天使轮,数千万人民币,赛马资本,,,,
2016.7.27,弘成教育,教育,北京,F轮-上市前,未透露,复思基金,海通开元,阳光保险,,
2016.7.27,工品汇,电子商务,江苏,A轮,6000万人民币,南京睿恒,合力投资,顺融资本,,
2016.7.27,够近智慧社区,本地生活,贵州,天使轮,数百万人民币,中路资本,,,,
2016.7.27,CloudIn云英,企业服务,北京,Pre-A轮,4000万人民币,云启资本,晨兴资本,,,
2016.7.27,钱到到,金融,北京,天使轮,数千万人民币,险峰长青(险峰华兴),分期乐,,,
2016.7.27,五月花财富,金融,北京,天使轮,1000万人民币,沃富金信,,,,
2016.7.27,老虎科技,企业服务,广东,天使轮,1000万人民币,高榕资本Banyan Fund,,,,
2016.7.27,圈子账本,工具软件,北京,Pre-A轮,1000万人民币,考拉产业基金(拉卡拉),,,,
2016.7.26,辰安科技,企业服务,北京,IPO上市,数千万人民币,投资方未透露,,,,
2016.7.26,大碗娱乐,文化娱乐,北京,A轮,1000万人民币,北京文化,,,,
2016.7.26,工资钱包,金融,上海,B轮,2亿人民币,软银中国,柚子创投,,,
2016.7.26,一禾美云,电子商务,广东,A轮,数千万人民币,东方富海,千合资本,用友幸福投资,松禾资本,中联智盈创投
2016.7.26,知子花,教育,北京,Pre-A轮,1500万人民币,和君资本,,,,
2016.7.26,乐派网,旅游,广东,Pre-A轮,未透露,粤科金融,,,,
2016.7.26,蓝石星际Bluestone,企业服务,重庆,D轮,3000万美元,IIFL and Accel,,,,
2016.7.26,户外星球（户外圈）,体育运动,北京,A轮,数千万人民币,壹号资本,,,,
2016.7.26,活动家,文化娱乐,四川,Pre-A轮,数百万人民币,投资方未透露,,,,
2016.7.26,顺天道传媒,文化娱乐,北京,种子轮,数百万人民币,西藏猎鹰天使创投,,,,
2016.7.26,白龙马汽车,汽车交通,广东,战略投资,未透露,招商证券,,,,
2016.7.26,海风教育Hyphen,教育,上海,A+轮,数千万人民币,沪江教育-互桂基金,蚂蚁雄兵投资,,,
2016.7.25,神居动漫,文化娱乐,北京,天使轮,数百万人民币,艾瑞资本(艾瑞),汉理资本,,,
2016.7.25,优必选科技,硬件,广东,B轮,1亿美元,鼎晖投资,中信证券,,,
2016.7.25,锅否科技,本地生活,北京,Pre-A轮,3400万人民币,星河互联,,,,
2016.7.25,白山云,企业服务,贵州,B轮,亿元及以上人民币,融玺创投,贵安新区新兴产业发展基金,贵安金融投资有限公司,上海擎承投资中心,
2016.7.25,吃几顿,本地生活,浙江,天使轮,500万人民币,Spark Capital,Cedar Fund,OurCrowd,,
2016.7.25,牛客网,教育,北京,Pre-A轮,1000万人民币,亿联资本,,,,
2016.7.25,邦盛金融,金融,浙江,B轮,1.35亿人民币,君联资本,新湖中宝-新湖控股,达晨创投,MFund魔量基金,
2016.7.25,赛欧必弗,硬件,北京,A轮,4000万人民币,鼎峰资本,同创伟业,中搜网络-中搜创投,首誉光控,
2016.7.25,贝多多,金融,广东,天使轮,500万人民币,天使湾,,,,
2016.7.25,星路天下,文化娱乐,北京,A轮,2000万人民币,升华拜克,,,,
2016.7.24,手趣动漫,文化娱乐,上海,Pre-A轮,数千万人民币,成都德商投资(德商资本),,,,
2016.7.23,索福德体育,体育运动,上海,B+轮,数千万人民币,红杉资本中国,,,,
2016.7.23,一点资讯,文化娱乐,北京,D轮,数千万美元,OPPO欧珀,,,,
2016.7.23,永洪科技,企业服务,北京,C轮,2亿人民币,腾讯,元生资本,东方富海,经纬中国,艾瑞资本(艾瑞)
2016.7.22,日日顺乐家,电子商务,山东,A+轮,未透露,投资方未透露,,,,
2016.7.22,点我达,物流,上海,不明确,10亿人民币,投资方未透露,,,,
2016.7.22,Kao！烤肉饭,本地生活,北京,天使轮,2000万人民币,投资方未透露,,,,
2016.7.22,神州专车(神州优车),汽车交通,天津,新三板,未透露,投资方未透露,,,,
2016.7.21,Quantifeed,金融,香港,A轮,450万美元,PGA Venture Partners,,,,
2016.7.21,女神有财,金融,北京,种子轮,数千万人民币,投资方未透露,,,,
2016.7.21,巴图鲁汽配铺,汽车交通,广东,B轮,1亿人民币,钟鼎创投,华创资本,越秀资本,,
2016.7.21,居乐屋,房产服务,上海,A轮,数千万人民币,VANGOO盘古创富,,,,
2016.7.21,陈翔六点半,文化娱乐,云南,A轮,数千万人民币,贝塔斯曼亚洲投资基金,,,,
2016.7.21,抱抱APP,社交网络,北京,B+轮,1亿人民币,华映资本,腾讯,纪源资本GGV,顺为基金,险峰长青(险峰华兴)
2016.7.20,农发贷,金融,广东,A轮,4000万人民币,投资方未透露,,,,
2016.7.20,去滑雪GoSki,体育运动,北京,A轮,3300万人民币,新动金鼎体育基金,体坛传媒,伯乐纵横投资,去玩资本,挚盈资本
2016.7.20,社群科技,广告营销,广东,天使轮,2000万人民币,美的集团,郎琴数字传媒,,,
2016.7.20,兼客兼职,企业服务,福建,A+轮,3000万人民币,大营资本,,,,
2016.7.20,纷享逍客(纷享销客),企业服务,北京,E轮,7000万美元,骊悦投资,长山兴资本,,,
2016.7.20,停车百事通,汽车交通,广东,A轮,数千万人民币,松禾资本,,,,
2016.7.20,拼多多,电子商务,上海,B轮,1.1亿美元,高榕资本Banyan Fund,新天域资本,腾讯,,
2016.7.19,靠谱网络-靠谱助手,游戏,福建,B轮,亿元及以上人民币,腾讯,愿景资本,梦想者电影,,
2016.7.19,毒舌电影,文化娱乐,广东,A轮,数千万人民币,贝塔斯曼亚洲投资基金,凌越资本,涌铧投资,合鲸资本,
2016.7.19,印娃,本地生活,北京,天使轮,250万人民币,Souza Investment林勇,,,,
2016.7.19,先通医药,医疗健康,北京,A轮,1亿人民币,物明投资,,,,
2016.7.19,加和科技ReachMax,广告营销,北京,A轮,6000万人民币,华映资本,数智匠人,,,
2016.7.19,天机智讯,企业服务,广东,Pre-A轮,数千万人民币,金沙江创投,,,,
